State Name,In Person Registration Deadline,Postmarked Mail Registration Deadline,Online Registration,Link to Registration,Link to Check Polling Place
Maryland,13/10/20,13/10/20,13/10/20,https://www.vote.org/register-to-vote/,https://elections.maryland.gov/voting/where.html
Massachusetts,14/10/20,14/10/20,14/10/20,https://www.vote.org/register-to-vote/,https://www.sec.state.ma.us/wheredoivotema/bal/MyElectionInfo.aspx
Michigan,19/10/20,19/10/20,19/10/20,https://www.vote.org/register-to-vote/,https://mvic.sos.state.mi.us/
Minnesota,03/11/20,13/10/20,13/10/20,https://www.vote.org/register-to-vote/,https://pollfinder.sos.state.mn.us/
Mississippi,04/10/20,04/10/20,N/A,https://www.vote.org/register-to-vote/,https://www.sos.ms.gov/PollingPlace/Pages/default.aspx
Missouri,07/10/20,07/10/20,07/10/20,https://www.vote.org/register-to-vote/,https://voteroutreach.sos.mo.gov/PRD/VoterOutreach/VOSearch.aspx
Montana,03/11/20,04/10/20,N/A,https://www.vote.org/register-to-vote/,https://app.mt.gov/voterinfo/
Nebraska,23/10/20,16/10/20,16/10/20,https://www.vote.org/register-to-vote/,https://www.votercheck.necvr.ne.gov/VoterView/PollingPlaceSearch.do
Nevada,03/11/20,06/10/20,30/10/20,https://www.vote.org/register-to-vote/,https://www.nvsos.gov/votersearch/
New Hampshire,28/10/20,28/10/20,N/A,https://www.vote.org/register-to-vote/,https://app.sos.nh.gov/Public/PollingPlaceSearch.aspx
New Jersey,13/10/20,13/10/20,N/A,https://www.vote.org/register-to-vote/,https://voter.svrs.nj.gov/polling-place-search
New Mexico,06/10/20,06/10/20,06/10/20,https://www.vote.org/register-to-vote/,https://voterportal.servis.sos.state.nm.us/WhereToVoteAddress.aspx
New York,09/10/20,09/10/20,09/10/20,https://www.vote.org/register-to-vote/,https://voterlookup.elections.ny.gov/
North Carolina,09/10/20,09/10/20,09/10/20,https://www.vote.org/register-to-vote/,https://vt.ncsbe.gov/PPLkup/
North Dakota,N/A,N/A,N/A,https://www.vote.org/register-to-vote/,https://vip.sos.nd.gov/wheretovote.aspx
Ohio,04/10/20,04/10/20,04/10/20,https://www.vote.org/register-to-vote/,https://voterlookup.ohiosos.gov/VoterLookup.aspx
Oklahoma,09/10/20,09/10/20,N/A,https://www.vote.org/register-to-vote/,https://okvoterportal.okelections.us/
Oregon,13/10/20,13/10/20,13/10/20,https://www.vote.org/register-to-vote/,https://sos.oregon.gov/voting/Pages/drop-box-locator.aspx
Pennsylvania,19/10/20,19/10/20,19/10/20,https://www.vote.org/register-to-vote/,https://www.pavoterservices.pa.gov/Pages/PollingPlaceInfo.aspx
Rhode Island,04/10/20,04/10/20,04/10/20,https://www.vote.org/register-to-vote/,https://vote.sos.ri.gov/Home/PollingPlaces?ActiveFlag=2
South Carolina,02/10/20,05/10/20,04/10/20,https://www.vote.org/register-to-vote/,https://info.scvotes.sc.gov/eng/voterinquiry/VoterInformationRequest.aspx?PageMode=VoterInfo
South Dakota,19/10/20,19/10/20,N/A,https://www.vote.org/register-to-vote/,https://vip.sdsos.gov/viplogin.aspx
Tennessee,05/10/20,05/10/20,04/10/20,https://www.vote.org/register-to-vote/,https://web.go-vote-tn.elections.tn.gov/
Texas,05/10/20,05/10/20,N/A,https://www.vote.org/register-to-vote/,https://teamrv-mvp.sos.texas.gov/MVP/mvp.do
Utah,27/10/20,05/10/20,27/10/20,https://www.vote.org/register-to-vote/,https://votesearch.utah.gov/voter-search/search/search-by-address/how-and-where-can-i-vote
Vermont,03/11/20,03/11/20,30/10/20,https://www.vote.org/register-to-vote/,https://mvp.sec.state.vt.us/
Virginia,12/10/20,12/10/20,12/10/20,https://www.vote.org/register-to-vote/,https://www.elections.virginia.gov/citizen-portal/index.html
Washington,03/11/20,26/10/20,26/10/20,https://www.vote.org/register-to-vote/,https://www.sos.wa.gov/elections/auditors/
West Virginia,13/10/20,13/10/20,13/10/20,https://www.vote.org/register-to-vote/,https://services.sos.wv.gov/Elections/Voter/FindMyPollingPlace
Wisconsin,30/10/20,14/10/20,14/10/20,https://www.vote.org/register-to-vote/,https://myvote.wi.gov/en-US/FindMyPollingPlace
Wyoming,20/10/20,20/10/20,N/A,https://www.vote.org/register-to-vote/,https://soswy.state.wy.us/Elections/PollPlace/Default.aspx
